match_id,batting_team,bowling_team,innings,venue,ball,runs_off_bat,extras,Total_runs_in_6_Overs
335982,Kolkata Knight Riders,Royal Challengers Bangalore,1,570,107.0,51,10,61
335982,Royal Challengers Bangalore,Kolkata Knight Riders,2,570,105.99999999999999,19,7,26
335983,Chennai Super Kings,Kings XI Punjab,1,1026,106.99999999999999,50,3,53
335983,Kings XI Punjab,Chennai Super Kings,2,1026,114.1,61,2,63
335984,Delhi Daredevils,Rajasthan Royals,2,342,109.99999999999999,53,2,55
335984,Rajasthan Royals,Delhi Daredevils,1,333,103.29999999999998,38,2,40
335985,Mumbai Indians,Royal Challengers Bangalore,1,1520,110.0,41,6,47
335985,Royal Challengers Bangalore,Mumbai Indians,2,1480,107.3,39,1,40
335986,Deccan Chargers,Kolkata Knight Riders,1,312,106.8,35,4,39
335986,Kolkata Knight Riders,Deccan Chargers,2,288,102.6,21,5,26
335987,Kings XI Punjab,Rajasthan Royals,1,1152,102.6,54,0,54
335987,Rajasthan Royals,Kings XI Punjab,2,1344,116.99999999999999,45,8,53
335988,Deccan Chargers,Delhi Daredevils,1,1044,102.6,24,1,25
335988,Delhi Daredevils,Deccan Chargers,2,1073,108.3,47,1,48
335989,Chennai Super Kings,Mumbai Indians,1,702,114.79999999999998,46,7,53
335989,Mumbai Indians,Chennai Super Kings,2,684,104.1,45,7,52
335990,Deccan Chargers,Rajasthan Royals,1,1073,108.3,57,1,58
335990,Rajasthan Royals,Deccan Chargers,2,1073,106.3,70,3,73
335991,Kings XI Punjab,Mumbai Indians,1,1026,113.0,58,2,60
335991,Mumbai Indians,Kings XI Punjab,2,1026,108.0,36,3,39
335992,Rajasthan Royals,Royal Challengers Bangalore,2,555,107.3,43,2,45
335992,Royal Challengers Bangalore,Rajasthan Royals,1,555,104.29999999999998,55,2,57
335993,Chennai Super Kings,Kolkata Knight Riders,2,702,109.7,35,10,45
335993,Kolkata Knight Riders,Chennai Super Kings,1,666,104.29999999999998,60,1,61
